78-1455809,Layney,O' Markey,52,187,retail sales consultant,novice,13,lomarkey0@phpbb.com,573-308-3222,73227 Hallows Hill,Yuan Renminbi,CNY,553,2.01E+14,2-Jun-17,31-Dec-99,TRUE
32-3258809,Cobby,Draisey,56,192,retail sales consultant,expert,1,cdraisey1@simplemachines.org,249-740-0858,364 Talmadge Junction,Euro,EUR,642.37,3.58E+15,6-May-17,31-Dec-99,TRUE
09-2962321,Meredithe,Colman,40,384,retail sales consultant,experienced,4,mcolman2@mapquest.com,770-789-9578,9 Lerdahl Plaza,Rupiah,IDR,801.96,3.44E+14,21-Mar-17,31-Dec-99,TRUE
29-7712276,Andrus,Python,47,727,assistant store manager,expert,12,apython3@who.int,349-633-1927,64476 Ohio Place,Yuan Renminbi,CNY,672.93,3.55E+15,20-Jun-17,31-Dec-99,TRUE
68-9434740,Stepha,Sievewright,61,503,executive vice president of sales,experienced,7,ssievewright4@hubpages.com,101-777-3615,32 Oak Valley Pass,Ruble,RUB,816.63,3.47E+14,7-Dec-16,31-Dec-99,TRUE
15-7120256,Curr,Hurndall,60,774,assistant store manager,experienced,2,churndall5@cnbc.com,955-644-4733,3 1st Plaza,Baht,THB,857.06,3.57E+15,26-Sep-17,31-Dec-99,TRUE
06-3337526,Livvy,Jiracek,32,537,store manager,middle,6,ljiracek6@irs.gov,652-262-0977,7131 Haas Junction,Yuan Renminbi,CNY,762.13,5.50E+15,25-Jul-17,31-Dec-99,TRUE
42-9526757,Kassie,Seifert,64,781,store manager,middle,11,kseifert7@ehow.com,725-266-8528,90 Valley Edge Drive,Yuan Renminbi,CNY,964.02,3.54E+15,25-Jan-17,31-Dec-99,TRUE
46-7366317,Lewiss,Willimot,37,646,sales director,experienced,14,lwillimot8@washingtonpost.com,795-589-2866,6 Michigan Pass,Peso,MXN,898.29,3.65E+13,22-Jun-17,31-Dec-99,TRUE
30-2994018,Mack,Oxherd,63,426,sales coordinator,middle,13,moxherd9@technorati.com,334-832-8009,39662 Lakewood Gardens Park,Yuan Renminbi,CNY,488.3,3.55E+15,4-Jan-17,31-Dec-99,TRUE
72-2592198,Kippy,Miskelly,29,135,store manager,novice,4,kmiskellya@kickstarter.com,716-271-6271,60 Meadow Valley Road,Yuan Renminbi,CNY,516.64,3.58E+15,18-Jan-17,31-Dec-99,TRUE
18-6522645,Trista,Fitzmaurice,47,541,sales associate,expert,8,tfitzmauriceb@rambler.ru,834-473-5866,41754 Nelson Court,Rupiah,IDR,772.53,3.56E+15,13-Nov-17,31-Dec-99,TRUE
