HU51 4039 8284 2122 6123 6075 3836,Khaki,flower poetry,fashion,bra,Khaki,70,72.01,8721,13-Feb-16,31-Dec-99,TRUE
FR63 7825 5165 83PO KSZE KVT9 V41,Yellow,refined retro,fashion,bra,Yellow,1,79.44,2417,14-Mar-17,31-Dec-99,TRUE
FR10 8552 0204 29AR MOAL FGYB 065,Yellow,bouquet of emotions,fashion,bra,Yellow,22,88.6,5842,30-Jan-17,31-Dec-99,TRUE
HR25 9158 7465 7641 9135 0,Pink,flower poetry,fashion,bra,Pink,60,29.81,8854,20-Jul-14,31-Dec-99,TRUE
FR63 4509 5198 65ED NEK1 XHFT K43,Turquoise,boudoir romance,fashion,bra,Turquoise,50,66.02,5422,27-Jun-14,31-Dec-99,TRUE
FR41 1340 6197 94WT 64L8 T9IK K07,Orange,accent by milavitsa,fashion,bra,Orange,54,96.2,2004,31-Jul-17,31-Dec-99,TRUE
LT72 0743 0756 7207 1322,Fuscia,after midnight,fashion,bra,Fuscia,5,57.7,8021,20-Jul-17,31-Dec-99,TRUE
CZ26 2226 9115 9883 1794 6917,Turquoise,soft touch,fashion,bra,Turquoise,26,48.83,8400,11-May-12,31-Dec-99,TRUE
ME14 8784 5692 0590 0849 70,Puce,soft touch,fashion,bra,Puce,50,19.97,7642,9-Sep-17,31-Dec-99,TRUE
IL37 0059 2280 7919 9737 063,Indigo,openwork history,fashion,bra,Indigo,6,59.06,3163,1-Jan-17,31-Dec-99,TRUE
BH03 DYWN BWQ5 7FIZ ONES JT,Mauv,soft touch,fashion,bra,Mauv,13,21.62,1760,10-Sep-13,31-Dec-99,TRUE
GB32 ICYW 8718 0639 6305 80,Maroon,after midnight,fashion,bra,Maroon,2,54.11,6188,27-Sep-17,31-Dec-99,TRUE
SI07 9569 8813 1282 323,Turquoise,openwork history,fashion,bra,Turquoise,17,93.99,6122,28-Nov-14,31-Dec-99,TRUE
AD07 8295 0757 EENU TV67 TY81,Mauv,exquisite elegance,fashion,bra,Mauv,41,11.01,4062,4-Nov-15,31-Dec-99,TRUE
PT48 4689 3119 8335 2001 8371 0,Maroon,bouquet of emotions,fashion,bra,Maroon,29,21.28,5124,7-Jul-16,31-Dec-99,TRUE
FR90 0347 5801 24KO LEE2 FQUC 929,Orange,bouquet of emotions,fashion,bra,Orange,61,39.6,9861,19-May-13,31-Dec-99,TRUE
AE73 4343 5772 4380 3010 499,Turquoise,after midnight,fashion,bra,Turquoise,43,99.64,4397,18-Jan-13,31-Dec-99,TRUE
MC54 2527 9923 21DB ZF9E LHG7 H83,Blue,boudoir romance,fashion,bra,Blue,41,74.29,3813,22-Jul-15,31-Dec-99,TRUE
LT07 4406 0372 3021 9176,Mauv,the charm of rococo,fashion,bra,Mauv,51,51.21,3564,4-Mar-13,31-Dec-99,TRUE
SA61 17IY OUSZ I98A 9BOH IL6Z,Fuscia,boudoir romance,fashion,bra,Fuscia,5,41.59,3094,30-Nov-12,31-Dec-99,TRUE
NL34 ZZYM 3591 8532 20,Mauv,exquisite ease,fashion,bra,Mauv,10,37.2,6045,27-Oct-15,31-Dec-99,TRUE
NL24 CSAF 5829 1212 91,Yellow,the charm of rococo,fashion,bra,Yellow,35,52.14,9270,30-Jan-15,31-Dec-99,TRUE
AZ53 JLSQ Z2EW R4VX XTOA AGFW AYJM,Teal,bouquet of emotions,fashion,bra,Teal,35,13.77,2141,15-Mar-16,31-Dec-99,TRUE
BH77 ZUMH OK22 WWP2 IRGO XD,Indigo,exquisite ease,fashion,bra,Indigo,16,13.55,1876,16-Feb-14,31-Dec-99,TRUE
FI31 7744 5662 7252 13,Red,the charm of rococo,fashion,bra,Red,49,22.93,7459,12-Sep-12,31-Dec-99,TRUE
FR19 4711 2768 62A6 LM4L CI39 L29,Maroon,accent by milavitsa,fashion,bra,Maroon,9,46.98,2219,20-Apr-17,31-Dec-99,TRUE
AD92 7896 0474 QAQN NNDR LGBT,Yellow,exquisite elegance,fashion,bra,Yellow,59,91.74,1813,9-Jul-12,31-Dec-99,TRUE
EE42 8796 3093 8654 9645,Teal,refined retro,fashion,bra,Teal,5,6.59,6132,25-Aug-16,31-Dec-99,TRUE
AT20 0775 2748 1981 6171,Khaki,refined retro,fashion,bra,Khaki,33,78.45,4050,9-Nov-16,31-Dec-99,TRUE
IL12 6920 3694 6108 0973 185,Crimson,refined retro,fashion,bra,Crimson,32,64.8,5792,1-Apr-13,31-Dec-99,TRUE
FR66 8242 8556 97UQ YDAF 0FTX V35,Aquamarine,refined retro,fashion,bra,Aquamarine,16,66.75,8536,26-Dec-16,31-Dec-99,TRUE
LT46 7065 3718 9079 1123,Orange,refined retro,fashion,bra,Orange,4,46.49,1821,4-Oct-14,31-Dec-99,TRUE
MU40 ATOJ 6506 4070 1567 9680 593K JB,Blue,flower poetry,fashion,bra,Blue,68,15.7,9035,13-Feb-16,31-Dec-99,TRUE
EE37 0425 3517 7479 3906,Pink,bouquet of emotions,fashion,bra,Pink,65,25.68,9593,5-Mar-15,31-Dec-99,TRUE
FR89 5131 3425 82DC JGS0 EHAY Q02,Puce,flower poetry,fashion,bra,Puce,66,57.37,9698,10-Sep-15,31-Dec-99,TRUE
MK30 8690 DAXT J5NH X57,Mauv,the charm of rococo,fashion,bra,Mauv,29,14.37,3074,28-Sep-17,31-Dec-99,TRUE
NO17 4159 0064 666,Maroon,exquisite elegance,fashion,bra,Maroon,31,31.32,7218,27-Oct-17,31-Dec-99,TRUE
KW31 XEQY H4PN HSZW E7UM NUS7 HZFU QV,Teal,after midnight,fashion,bra,Teal,43,29.33,5953,27-Aug-15,31-Dec-99,TRUE
FR28 1738 8964 72ZV JM8L VFD6 890,Orange,exquisite ease,fashion,bra,Orange,34,1.27,1237,14-Oct-13,31-Dec-99,TRUE
MU91 ILPE 8534 8636 7164 6864 859I MS,Fuscia,the charm of rococo,fashion,bra,Fuscia,57,46.2,2925,25-May-16,31-Dec-99,TRUE
SA13 53WL KAHC ENNV G4QO XBDA,Pink,after midnight,fashion,bra,Pink,53,97.16,3731,20-Sep-12,31-Dec-99,TRUE
MC09 7198 2897 65C7 ALGM G72F Y88,Mauv,refined retro,fashion,bra,Mauv,57,23.75,3139,30-Jun-12,31-Dec-99,TRUE
AL77 2830 6126 DNXO BPDK QBBT YRF4,Pink,the charm of rococo,fashion,bra,Pink,11,0.28,1445,26-Jul-14,31-Dec-99,TRUE
FR30 8944 8488 30XJ SZZ6 8LYY V92,Blue,accent by milavitsa,fashion,bra,Blue,50,9.17,9465,18-Feb-12,31-Dec-99,TRUE
CH60 8821 8XRK 9AFW XGSM O,Goldenrod,accent by milavitsa,fashion,bra,Goldenrod,36,54.73,1305,22-Nov-15,31-Dec-99,TRUE
MR25 5407 0540 3069 2545 3310 554,Pink,accent by milavitsa,fashion,bra,Pink,16,58.09,9691,26-Jul-16,31-Dec-99,TRUE
AZ61 HEPM AUOG USXE 3GG0 IOAL BNNO,Teal,exquisite ease,fashion,bra,Teal,3,60.18,6795,27-Nov-15,31-Dec-99,TRUE
EE43 1044 9477 0968 6333,Pink,comfort formula,fashion,bra,Pink,71,31.6,5604,5-Oct-16,31-Dec-99,TRUE
FR62 7503 0579 81VX NSCM MYL6 M88,Green,after midnight,fashion,bra,Green,11,50.06,4221,18-May-12,31-Dec-99,TRUE
FR84 6690 9221 01X1 D4CH QHFL K43,Purple,accent by milavitsa,fashion,bra,Purple,25,61.25,1022,22-Oct-14,31-Dec-99,TRUE
CR15 2482 1356 3565 2138 7,Blue,accent by milavitsa,fashion,bra,Blue,75,35.06,1366,4-Aug-12,31-Dec-99,TRUE
FR48 8006 7642 34SA UOGY G5NH N31,Blue,flower poetry,fashion,bra,Blue,72,99.95,2156,20-May-12,31-Dec-99,TRUE
TR64 9480 9JZN MUBJ D39Q QLJ2 LJ,Crimson,flower poetry,fashion,bra,Crimson,44,87.24,8683,5-Dec-15,31-Dec-99,TRUE
FR79 3813 8148 63DM YI5U H81R 582,Violet,boudoir romance,fashion,bra,Violet,67,62.4,2118,6-Nov-14,31-Dec-99,TRUE
PK89 MAPM OV3N NBBR 3NAF BNLN,Crimson,accent by milavitsa,fashion,bra,Crimson,3,78.2,1582,28-Dec-14,31-Dec-99,TRUE
PS71 WPUU MVIR OXX0 X5EI NR6U 1GI7 Q,Maroon,flower poetry,fashion,bra,Maroon,45,15.4,6919,25-Oct-13,31-Dec-99,TRUE
NO75 5246 3398 999,Khaki,after midnight,fashion,bra,Khaki,77,65.56,4265,16-Dec-12,31-Dec-99,TRUE
DE14 3771 1582 5389 9648 06,Blue,boudoir romance,fashion,bra,Blue,63,16.98,9359,29-Jan-16,31-Dec-99,TRUE
HR62 7641 1390 8781 1252 5,Violet,flower poetry,fashion,bra,Violet,50,14.11,9323,7-Mar-13,31-Dec-99,TRUE
PT24 5849 3355 3959 3427 3698 4,Mauv,the charm of rococo,fashion,bra,Mauv,40,49.68,9621,11-Dec-14,31-Dec-99,TRUE
MR86 8062 3871 1513 6961 8370 298,Yellow,exquisite elegance,fashion,bra,Yellow,52,21.25,1318,3-Jul-17,31-Dec-99,TRUE
KW79 ZWGM EAPW I5P3 WMZK SGVN 1V17 CK,Indigo,accent by milavitsa,fashion,bra,Indigo,35,15.15,5867,25-Sep-12,31-Dec-99,TRUE
HR89 3976 0563 6429 4627 0,Blue,soft touch,fashion,bra,Blue,67,77.2,9916,17-Jan-13,31-Dec-99,TRUE
DO64 EDBP 9610 2060 7570 0156 4842,Goldenrod,soft touch,fashion,bra,Goldenrod,24,90.43,8181,13-Mar-15,31-Dec-99,TRUE
