02-6622787,Karoly,Patron,53,185,sales director,experienced,4,kpatron0@ca.gov,180-561-7755,7272 Talmadge Trail,Euro,EUR,741.07,5.11E+15,21-Apr-17,31-Dec-99,TRUE
36-9410470,Kori,Havenhand,59,337,financial planner,expert,2,khavenhand1@multiply.com,766-759-1542,27 Mayfield Crossing,Yuan Renminbi,CNY,708.53,5.02E+18,4-Jul-17,31-Dec-99,TRUE
30-8817630,Fayth,Burdis,42,162,executive vice president of sales,expert,3,fburdis2@theglobeandmail.com,769-512-5900,01 School Park,Rupiah,IDR,516.25,5.41E+15,11-Oct-17,31-Dec-99,TRUE
09-6574766,Tova,Smallwood,55,298,financial advisor,novice,15,tsmallwood3@mac.com,708-133-1480,91294 Macpherson Park,Hryvnia,UAH,557.74,4.94E+15,16-Mar-17,31-Dec-99,TRUE
29-1094081,Ailey,Ventura,23,767,account executive,experienced,6,aventura4@slideshare.net,534-275-9365,2142 Atwood Lane,Peso,PHP,700.56,5.10E+15,6-Aug-17,31-Dec-99,TRUE
51-6591751,Osborn,Matcham,49,441,financial advisor,experienced,10,omatcham5@cnbc.com,204-636-9735,82 Eagan Plaza,Ruble,RUB,591.29,5.60E+18,25-Jul-17,31-Dec-99,TRUE
12-6113127,Jessalyn,Bould,39,782,store manager,middle,3,jbould6@ameblo.jp,370-370-0126,58 Montana Trail,Euro,EUR,741.73,3.57E+15,15-Feb-17,31-Dec-99,TRUE
14-4627642,Maximilianus,Younger,65,516,director of national sales,middle,10,myounger7@redcross.org,824-964-6525,46 Mockingbird Point,Peso,PHP,731.44,4.03E+15,18-Jun-17,31-Dec-99,TRUE
45-8243135,Daphne,Withey,34,586,financial advisor,middle,5,dwithey8@sbwire.com,676-647-8869,1 Everett Trail,Rupiah,IDR,774.09,3.54E+15,13-Apr-17,31-Dec-99,TRUE
44-7638298,Chloe,Roscoe,43,357,executive vice president of sales,middle,14,croscoe9@artisteer.com,207-165-9541,2641 Larry Point,Naira,NGN,694.81,3.56E+15,24-Dec-16,31-Dec-99,TRUE
